Date;Price;Open;High;Low;Vol.;Change
08/03/2014;588.9;591.7;592.1;580.6;1.26*1000;-0.47*0.01
08/02/2014;591.7;598.8;598.9;587.4;2.12*1000;-1.18*0.01
08/01/2014;598.8;589.5;604.0;586.4;8.93*1000;1.57*0.01
07/31/2014;589.5;564.6;593.7;564.0;3.52*1000;4.41*0.01
07/30/2014;564.6;585.8;586.1;564.2;4.10*1000;-3.61*0.01
07/29/2014;585.8;587.9;591.3;579.5;6.72*1000;-0.37*0.01
07/28/2014;587.9;595.0;597.5;578.1;2.33*1000;-1.19*0.01
07/27/2014;595.0;596.0;601.5;593.7;3.53*1000;-0.16*0.01
07/26/2014;596.0;600.5;603.0;593.3;3.48*1000;-0.75*0.01
07/25/2014;600.5;601.9;609.1;597.4;5.92*1000;-0.23*0.01
07/24/2014;601.9;621.7;622.0;599.4;4.74*1000;-3.19*0.01
07/23/2014;621.7;622.5;625.0;621.0;2.17*1000;-0.13*0.01
07/22/2014;622.5;625.1;628.8;620.0;3.28*1000;-0.42*0.01
07/21/2014;625.1;621.0;625.9;615.0;2.53*1000;0.67*0.01
07/20/2014;621.0;627.0;627.9;620.0;2.30*1000;-0.97*0.01
07/19/2014;627.0;627.5;634.1;625.1;3.96*1000;-0.07*0.01
07/18/2014;627.5;626.6;630.2;617.9;3.35*1000;0.14*0.01
07/17/2014;626.6;614.8;632.5;610.0;2.92*1000;1.92*0.01
07/16/2014;614.8;619.6;622.4;614.2;3.00*1000;-0.77*0.01
07/15/2014;619.6;618.3;624.4;617.3;3.69*1000;0.21*0.01
07/14/2014;618.3;628.0;629.0;616.1;2.55*1000;-1.55*0.01
07/13/2014;628.0;635.9;638.6;627.5;1.70*1000;-1.24*0.01
07/12/2014;635.9;632.9;638.6;625.9;3.43*1000;0.47*0.01
07/11/2014;632.9;618.4;633.6;616.1;3.12*1000;2.35*0.01
07/10/2014;618.4;623.0;625.0;611.7;3.61*1000;-0.74*0.01
07/09/2014;623.0;615.3;623.8;610.5;3.07*1000;1.25*0.01
07/08/2014;615.3;613.6;619.7;609.3;3.21*1000;0.28*0.01
07/07/2014;613.6;626.7;627.9;607.3;2.53*1000;-2.08*0.01
07/06/2014;626.7;623.0;629.4;622.7;2.70*1000;0.59*0.01
07/05/2014;623.0;624.0;627.8;619.7;3.25*1000;-0.16*0.01
07/04/2014;624.0;638.0;642.2;623.0;3.60*1000;-2.21*0.01
07/03/2014;638.0;645.7;646.4;633.6;4.01*1000;-1.19*0.01
07/02/2014;645.7;643.2;652.1;604.6;4.78*1000;0.39*0.01
07/01/2014;643.2;635.1;652.5;634.1;4.11*1000;1.27*0.01
06/30/2014;635.1;601.1;637.3;596.5;3.83*1000;5.67*0.01
06/29/2014;601.1;597.6;604.3;593.2;2.89*1000;0.59*0.01
06/28/2014;597.6;602.2;608.8;594.0;2.94*1000;-0.78*0.01
06/27/2014;602.2;582.7;603.9;580.1;3.39*1000;3.35*0.01
06/26/2014;582.7;568.5;582.7;565.8;4.15*1000;2.51*0.01
06/25/2014;568.5;588.8;589.6;566.9;3.09*1000;-3.45*0.01
06/24/2014;588.8;591.2;595.7;585.4;3.08*1000;-0.41*0.01
06/23/2014;591.2;603.6;604.7;582.9;2.65*1000;-2.06*0.01
06/22/2014;603.6;597.0;610.1;592.0;2.04*1000;1.10*0.01
06/21/2014;597.0;590.8;599.2;584.8;2.28*1000;1.06*0.01
06/20/2014;590.8;600.2;602.0;587.1;2.15*1000;-1.57*0.01
06/19/2014;600.2;606.2;612.6;598.7;5.60*1000;-1.00*0.01
06/18/2014;606.2;605.1;614.4;603.6;3.31*1000;0.19*0.01
06/17/2014;605.1;599.1;608.4;594.9;3.00*1000;1.00*0.01
06/16/2014;599.1;582.3;606.1;580.5;3.99*1000;2.88*0.01
06/15/2014;582.3;583.4;587.8;560.8;3.94*1000;-0.19*0.01
06/14/2014;583.4;610.3;613.8;563.7;5.00*1000;-4.41*0.01
06/13/2014;610.3;597.1;619.1;594.9;7.55*1000;2.21*0.01
06/12/2014;597.1;643.0;643.8;591.1;4.59*1000;-7.13*0.01
06/11/2014;643.0;655.6;663.0;642.3;3.80*1000;-1.93*0.01
06/10/2014;655.6;644.3;661.4;641.7;3.56*1000;1.75*0.01
06/09/2014;644.3;651.0;652.1;639.1;3.26*1000;-1.03*0.01
06/08/2014;651.0;651.7;658.9;648.7;3.31*1000;-0.10*0.01
06/07/2014;651.7;650.4;659.8;641.0;1.97*1000;0.19*0.01
06/06/2014;650.4;660.2;663.8;647.1;6.04*1000;-1.48*0.01
06/05/2014;660.2;638.9;665.4;635.6;2.76*1000;3.33*0.01
06/04/2014;638.9;669.4;669.8;602.1;5.60*1000;-4.56*0.01
06/03/2014;669.4;655.5;676.5;631.4;4.36*1000;2.13*0.01
06/02/2014;655.5;649.8;662.6;625.5;4.13*1000;0.88*0.01
06/01/2014;649.8;627.9;675.0;622.0;3.55*1000;3.48*0.01
05/31/2014;627.9;612.3;629.0;604.7;4.41*1000;2.54*0.01
05/30/2014;612.3;564.4;613.3;564.0;6.21*1000;8.49*0.01
05/29/2014;564.4;570.8;573.8;557.7;3.73*1000;-1.12*0.01
05/28/2014;570.8;570.1;581.8;562.6;3.57*1000;0.13*0.01
05/27/2014;570.1;582.0;586.2;555.3;3.35*1000;-2.05*0.01
05/26/2014;582.0;570.4;586.4;564.7;2.96*1000;2.03*0.01
05/25/2014;570.4;520.5;575.2;520.5;1.87*1000;9.60*0.01
05/24/2014;520.5;518.1;526.7;510.4;2.86*1000;0.46*0.01
05/23/2014;518.1;515.4;540.9;515.2;2.76*1000;0.53*0.01
05/22/2014;515.4;488.8;519.3;485.5;3.12*1000;5.43*0.01
05/21/2014;488.8;484.6;495.2;481.7;1.40*1000;0.88*0.01
05/20/2014;484.6;443.9;486.2;437.3;1.90*1000;9.16*0.01
05/19/2014;443.9;450.1;451.7;441.2;1.35*1000;-1.39*0.01
05/18/2014;450.1;452.8;454.0;449.0;1.45*1000;-0.59*0.01
05/17/2014;452.8;453.6;455.9;452.2;1.71*1000;-0.19*0.01
05/16/2014;453.6;448.1;455.1;441.9;1.76*1000;1.23*0.01
05/15/2014;448.1;442.6;450.0;441.5;2.17*1000;1.24*0.01
05/14/2014;442.6;433.9;444.3;433.9;2.20*1000;2.01*0.01
05/13/2014;433.9;438.2;442.3;432.7;2.65*1000;-0.98*0.01
05/12/2014;438.2;433.2;441.1;430.2;1.39*1000;1.15*0.01
05/11/2014;433.2;451.9;455.4;429.0;1.89*1000;-4.13*0.01
05/10/2014;451.9;445.5;459.5;441.4;0.45*1000;1.45*0.01
05/09/2014;445.5;441.1;455.8;438.5;2.27*1000;0.98*0.01
05/08/2014;441.1;446.5;455.5;439.5;2.54*1000;-1.22*0.01
05/07/2014;446.5;432.2;458.8;423.5;5.03*1000;3.32*0.01
05/06/2014;432.2;430.9;435.0;420.2;4.19*1000;0.31*0.01
05/05/2014;430.9;436.0;443.9;426.4;3.04*1000;-1.19*0.01
05/04/2014;436.0;438.6;446.6;428.8;3.37*1000;-0.59*0.01
05/03/2014;438.6;453.7;454.2;429.1;2.58*1000;-3.31*0.01
